old.sample.ID,Sample_Type,Sample_detail,rep.ID,moss.lichen,experiment.type,plate,Sample_or_Control,E1,E2,E3,E4
C34_S1,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr4_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C34_S2,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr4_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C34_S3,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr4_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C36_S1,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,T,F,F
C36_S2,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,T,F,F
C36_S3,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,T,F,F
C37_S1,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr1_mo1,moss,tard.vs.tard,1,Sample,F,T,F,F
C37_S2,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr1_mo2,moss,tard.vs.tard,1,Sample,F,T,F,F
C37_S3,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr1_mo3,moss,tard.vs.tard,1,Sample,F,T,F,F
C38_S1,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,T,F,F
C38_S2,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr2_li2,lichen,tard.vs.tard,1,Sample,T,T,F,F
C38_S3,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr2_li3,lichen,tard.vs.tard,1,Sample,T,T,F,F
C39_S1,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr2_mo1,moss,tard.vs.tard,1,Sample,F,T,F,F
C39_S2,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr2_mo2,moss,tard.vs.tard,1,Sample,F,T,F,F
C39_S3,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr2_mo3,moss,tard.vs.tard,1,Sample,F,T,F,F
C40_S1,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr3_li1,lichen,tard.vs.tard,1,Sample,T,T,F,F
C40_S2,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr3_li2,lichen,tard.vs.tard,1,Sample,T,T,F,F
C40_S3,Tardigrade,Tardigrade - lichen - 2019,L2_19_Tr3_li3,lichen,tard.vs.tard,1,Sample,T,T,F,F
C41_S1,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr3_mo1,moss,tard.vs.tard,1,Sample,F,T,F,F
C41_S2,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr3_mo2,moss,tard.vs.tard,1,Sample,F,T,F,F
C41_S3,Tardigrade,Tardigrade - moss - 2019,L2_19_Tr3_mo3,moss,tard.vs.tard,1,Sample,F,T,F,F
C50_S1,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C50_S2,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C50_S3,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C52_S1,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C52_S2,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr2_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C52_S3,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr2_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C54_S1,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr3_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C54_S2,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr3_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C56_S1,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr4_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C56_S2,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr4_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C56_S3,Tardigrade,Tardigrade - lichen - 2019,L5_19_Tr4_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C2_S1,Tardigrade,Tardigrade - lichen - 2019,L1_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,F,F,T
C2_S2,Tardigrade,Tardigrade - lichen - 2019,L1_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,F,F,T
C2_S3,Tardigrade,Tardigrade - lichen - 2019,L1_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,F,F,T
C2_SA1,Tardigrade,other,L1_19_Tr1_liA1,lichen,other,1,Sample,F,F,F,F
C3_S1,Tardigrade,Tardigrade - lichen - 2019,L1_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,F,F,T
